https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1532563200,2018-07-26 00:00:00,BTC/EUR,6964.20,7119.00,6745.00,6809.10,1288.97930850,8776789.00950735
1532476800,2018-07-25 00:00:00,BTC/EUR,7195.34,7254.88,6886.00,6964.20,1505.81748075,10486814.09943915
1532390400,2018-07-24 00:00:00,BTC/EUR,6607.70,7250.11,6584.87,7190.31,3025.71785732,21755849.36666657
1532304000,2018-07-23 00:00:00,BTC/EUR,6307.49,6686.00,6282.06,6611.97,1800.50152335,11904862.0573445
1532217600,2018-07-22 00:00:00,BTC/EUR,6324.00,6455.76,6250.00,6308.19,594.99484419,3753340.526170916
1532131200,2018-07-21 00:00:00,BTC/EUR,6258.10,6366.96,6145.98,6324.70,411.93034193,2605335.833604671
1532044800,2018-07-20 00:00:00,BTC/EUR,6413.28,6576.29,6200.00,6248.34,1146.60818471,7164397.784850881
1531958400,2018-07-19 00:00:00,BTC/EUR,6338.05,6500.00,6250.00,6413.70,1121.65340426,7193948.438902361
1531872000,2018-07-18 00:00:00,BTC/EUR,6269.98,6504.84,6211.00,6324.01,1624.51194562,10273429.789220337
1531785600,2018-07-17 00:00:00,BTC/EUR,5728.13,6400.00,5671.47,6270.44,2160.49248552,13547238.50090403
1531699200,2018-07-16 00:00:00,BTC/EUR,5438.30,5764.90,5408.00,5745.64,2575.38645145,14797243.41090918
1531612800,2018-07-15 00:00:00,BTC/EUR,5356.18,5469.40,5331.94,5438.19,321.58100574,1748818.6096052106
1531526400,2018-07-14 00:00:00,BTC/EUR,5322.94,5414.20,5295.09,5358.00,296.64306984,1589413.56820272
1531440000,2018-07-13 00:00:00,BTC/EUR,5364.01,5443.69,5251.79,5325.84,948.25943029,5050278.004215693
1531353600,2018-07-12 00:00:00,BTC/EUR,5471.82,5471.82,5215.00,5357.18,1028.66442805,5510740.500660899
1531267200,2018-07-11 00:00:00,BTC/EUR,5384.91,5470.81,5355.01,5464.99,839.55527030,4588161.156636797
1531180800,2018-07-10 00:00:00,BTC/EUR,5672.83,5676.88,5349.00,5382.61,1320.91342091,7109961.788524374
1531094400,2018-07-09 00:00:00,BTC/EUR,5711.60,5788.00,5634.39,5672.84,868.70629966,4928031.844963235
1531008000,2018-07-08 00:00:00,BTC/EUR,5758.63,5773.58,5684.14,5706.01,664.25245602,3790231.15657468
1530921600,2018-07-07 00:00:00,BTC/EUR,5626.58,5799.93,5544.03,5758.63,436.41805522,2513170.1053315485
1530835200,2018-07-06 00:00:00,BTC/EUR,5590.44,5664.88,5505.00,5619.86,741.86362707,4169169.72322561
1530748800,2018-07-05 00:00:00,BTC/EUR,5650.90,5748.43,5511.00,5594.93,917.69808147,5134456.526958948
1530662400,2018-07-04 00:00:00,BTC/EUR,5581.45,5824.00,5483.08,5635.00,1027.23808490,5788486.6084115
1530576000,2018-07-03 00:00:00,BTC/EUR,5682.00,5730.00,5539.77,5565.00,1637.18924545,9110958.15092925
1530489600,2018-07-02 00:00:00,BTC/EUR,5436.63,5750.65,5379.40,5682.00,1656.77005423,9413767.44813486
1530403200,2018-07-01 00:00:00,BTC/EUR,5460.00,5505.75,5335.58,5438.92,1012.98184812,5509527.233376831
1530316800,2018-06-30 00:00:00,BTC/EUR,5305.00,5560.00,5299.19,5460.00,988.36305799,5396462.2966254
1530230400,2018-06-29 00:00:00,BTC/EUR,5064.90,5379.99,4970.50,5305.00,1608.01995260,8530545.848543
1530144000,2018-06-28 00:00:00,BTC/EUR,5305.06,5325.51,5043.00,5066.60,937.86782240,4751801.108971841
1530057600,2018-06-27 00:00:00,BTC/EUR,5218.61,5345.00,5163.30,5299.50,1096.91289196,5813089.87094202
1529971200,2018-06-26 00:00:00,BTC/EUR,5346.61,5366.30,5199.49,5223.44,1110.95921884,5803028.8220576085
1529884800,2018-06-25 00:00:00,BTC/EUR,5280.13,5440.57,5206.57,5337.10,1430.00848478,7632098.284119338
1529798400,2018-06-24 00:00:00,BTC/EUR,5305.63,5370.19,4899.13,5272.24,2447.75861514,12905170.881085714
1529712000,2018-06-23 00:00:00,BTC/EUR,5202.17,5392.87,5176.53,5294.39,666.70221435,3529781.5366324964
1529625600,2018-06-22 00:00:00,BTC/EUR,5796.08,5798.00,5101.00,5208.80,2684.08461259,13980859.930058792
1529539200,2018-06-21 00:00:00,BTC/EUR,5833.00,5880.53,5765.10,5795.87,887.65432452,5144729.069855733
1529452800,2018-06-20 00:00:00,BTC/EUR,5822.54,5881.51,5669.07,5832.80,948.89490085,5534714.17767788
1529366400,2018-06-19 00:00:00,BTC/EUR,5772.00,5916.32,5740.00,5824.69,995.38247881,5797794.370499819
1529280000,2018-06-18 00:00:00,BTC/EUR,5563.80,5855.42,5505.76,5764.50,1210.99717979,6980793.242899455
1529193600,2018-06-17 00:00:00,BTC/EUR,5597.80,5667.37,5540.00,5559.00,444.99253912,2473713.52496808
1529107200,2018-06-16 00:00:00,BTC/EUR,5520.38,5643.46,5461.85,5597.82,649.57125399,3636182.9570103013
1529020800,2018-06-15 00:00:00,BTC/EUR,5743.10,5763.77,5493.10,5517.11,1045.87670436,5770216.8243916
1528934400,2018-06-14 00:00:00,BTC/EUR,5348.24,5795.27,5325.33,5745.21,1926.96143285,11070798.093624149
