Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,1/25/2025 13:04,1/26/2025 15:40,xxx,"-368,0",0,USD,COMPLETED,1075
TOPUP,Current,01/02/2025 14:48,01/02/2025 14:48,xxx,7500,0,DKK,COMPLETED,8834
EXCHANGE,Current,01/02/2025 14:50,01/02/2025 14:50,xxx,-7479,0,DKK,COMPLETED,1355
CARD_PAYMENT,Current,01/08/2025 13:08,01/09/2025 14:57,xxx,-150,0,DKK,COMPLETED,1205
TOPUP,Current,01/12/2025 14:34,01/12/2025 14:34,xxx,7500,0,DKK,COMPLETED,8705
CARD_PAYMENT,Current,01/12/2025 14:38,1/13/2025 13:39,xxx,-7282,0,DKK,COMPLETED,1423
TOPUP,Current,02/02/2025 21:56,02/02/2025 21:56,xxx,10000,0,DKK,COMPLETED,11423
EXCHANGE,Current,02/02/2025 21:58,02/02/2025 21:58,xxx,-9963,0,DKK,COMPLETED,1460
CARD_PAYMENT,Current,2/15/2025 15:22,2/16/2025 14:29,xxx,-217,0,DKK,COMPLETED,1243
CARD_PAYMENT,Current,2/15/2025 15:29,2/16/2025 14:29,xxx,-200,0,DKK,COMPLETED,1043
EXCHANGE,Current,01/02/2025 14:50,01/02/2025 14:50,xxx,1000,0,EUR,COMPLETED,2872
CARD_PAYMENT,Current,01/02/2025 14:53,01/03/2025 09:54,xxx,-2743,0,EUR,COMPLETED,128
CARD_PAYMENT,Current,01/03/2025 19:18,01/04/2025 10:12,xxx,-17,0,EUR,COMPLETED,112
CARD_PAYMENT,Current,1/26/2025 1:24,1/26/2025 12:54,xxx,-28,0,EUR,COMPLETED,"84,0"
EXCHANGE,Current,02/02/2025 21:58,02/02/2025 21:58,xxx,1325,0,EUR,COMPLETED,"1408,0"
CARD_PAYMENT,Current,02/02/2025 22:02,02/03/2025 12:16,xxx,-1384,0,EUR,COMPLETED,25
TOPUP,Current,03/12/2025 12:09,03/12/2025 12:09,xxx,7500,0,CZK,COMPLETED,25117
TRANSFER,Current,3/25/2025 6:39,3/25/2025 7:28,xxx,-22500,0,CZK,COMPLETED,2617
CARD_PAYMENT,Current,3/23/2025 12:03,3/24/2025 14:22,xxx,-400,0,USD,COMPLETED,675
EXCHANGE,Current,03/12/2025 12:11,03/12/2025 12:11,xxx,-1000,0,DKK,COMPLETED,43
EXCHANGE,Current,03/12/2025 12:11,03/12/2025 12:11,xxx,134,0,EUR,COMPLETED,158
CARD_PAYMENT,Current,3/25/2025 3:40,3/25/2025 12:50,xxx,-28,0,EUR,COMPLETED,130
